   0.0000000e+00  -7.3000000e+01
   1.4442000e+01  -7.2000000e+01
   3.7167000e+01  -6.6000000e+01
   5.1525000e+01  -7.5000000e+01
   6.4931000e+01  -6.6000000e+01
   1.1875400e+02  -6.5000000e+01
   1.3099300e+02  -6.2000000e+01
   1.4228900e+02  -7.5000000e+01
   1.5466500e+02  -6.8000000e+01
   1.9701200e+02  -6.1000000e+01
   2.1045700e+02  -5.7000000e+01
   2.2382800e+02  -5.4000000e+01
   2.9731300e+02  -6.5000000e+01
   3.1144000e+02  -6.4000000e+01
   3.2490900e+02  -6.2000000e+01
   3.3816700e+02  -8.1000000e+01
   3.7237300e+02  -5.8000000e+01
   3.8469900e+02  -6.2000000e+01
   4.0639000e+02  -6.6000000e+01
   4.5912200e+02  -7.4000000e+01
   4.8406300e+02  -7.1000000e+01
   5.3644400e+02  -7.6000000e+01
   5.7132200e+02  -7.4000000e+01
   5.9399400e+02  -6.7000000e+01
   6.0749800e+02  -8.2000000e+01
   6.3220100e+02  -7.3000000e+01
   6.8606600e+02  -7.3000000e+01
   7.0024200e+02  -8.2000000e+01
