,'RSS', 'RSS (pre-averaged)', 'RSS (post-averaged)', 'MDS (metric)', 'MDS (non-metric)', 'SDP', 'Spring Model', 'Spring Model (from SDP)', 'Isomap', 'Local Linear Embedding'
'MAE',1.7201818181818183, 1.582, 1.599, 1.5669090909090908, 1.3432727272727274, 3.150363636363636, 1.2765454545454544, 1.8601818181818182, 2.300181818181818, 1.5727272727272728
'MPE',0.2609433636571465, 0.24140012522453566, 0.24393877424279908, 0.30926981835764517, 0.2735965472578616, 0.528934420066152, 0.2360923424503932, 0.32630652151447564, 0.44317120023436973, 0.3333298726785768
'TPR',1.0, 1.0, 1.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0
'FPR',0.018867924528301886, 0.0, 0.0, 0.018867924528301886, 0.0, 0.37735849056603776, 0.018867924528301886, 0.18867924528301888, 0.03773584905660377, 0.03773584905660377
'Runtime',0.00011110305786132812, 0.00010323524475097656, 0.00010442733764648438, 0.07715606689453125, 0.05068612098693848, 0.5826380252838135, 0.916867733001709, 0.058281898498535156, 0.005937099456787109, 0.009654045104980469
